blk_no,street,postal_code,name,lat,lon
19,LENGKONG SATU,417488,NIL,1.32672317171064,103.912650891296
13,KAKI BUKIT ROAD 2,417844,K.B. WAREHOUSE COMPLEX,1.33876080296637,103.898132702475
2,KAKI BUKIT AVENUE 1,417938,NIL,1.33175502328194,103.90317402935
61,KAKI BUKIT AVENUE 1,417943,SHUN LI INDUSTRIAL PARK,1.33668906305605,103.910663762094
83,KAKI BUKIT AVENUE 1,417954,SHUN LI INDUSTRIAL PARK,1.33674867047137,103.912365921782
3,JALAN SENTOSA,418216,NIL,1.32199659670396,103.917222137543
17,LORONG MARZUKI,418272,NIL,1.31966639829637,103.909252209485
4,JALAN PARAS,418857,NIL,1.32634109430742,103.915722574802
6,JALAN MASJID,418925,NIL,1.31960749796796,103.912657285667
44,JALAN LAPANG,418996,NIL,1.32308238956807,103.916995974597
285,CHANGI ROAD,419764,NIL,1.31813734874727,103.906821762402
285A,CHANGI ROAD,419764,NIL,1.31813734874728,103.906821761858
368,CHANGI ROAD,419826,KENG YEE GARDEN,1.31827521382105,103.910336970447
368A,CHANGI ROAD,419826,KENG YEE GARDEN,1.31829057399516,103.910338987056
368B,CHANGI ROAD,419826,KENG YEE GARDEN,1.31829057399516,103.910338987056
683,CHANGI ROAD,419961,NIL,1.32092781376345,103.916415640103
685,CHANGI ROAD,419962,NIL,1.32082117140076,103.916332807601
507,CHANGI ROAD,419970,NIL,1.31995999081866,103.914556982218
19,STILL ROAD SOUTH,423930,NIL,1.30755926759373,103.909211103215
21,STILL ROAD SOUTH,423931,NIL,1.30751320217577,103.909230125731
155,STILL ROAD,423992,BOON COURT,1.31537658111476,103.905462947954
155A,STILL ROAD,423992,BOON COURT,1.31537658084103,103.905462948226
155B,STILL ROAD,423992,BOON COURT,1.31537658084103,103.905462948226
11,RAMBUTAN ROAD,424287,NIL,1.31365682423976,103.9054439519
11A,RAMBUTAN ROAD,424287,NIL,1.31365682396602,103.9054439519
11B,RAMBUTAN ROAD,424287,NIL,1.31365682396602,103.9054439519
272,ONAN ROAD,424660,NIL,1.30995812941824,103.900961479926
1G,MANGIS ROAD,424945,NIL,1.31468231732077,103.903208899904
2C,MANGIS ROAD,424949,NIL,1.31447004350623,103.902890399153
4,MANGIS ROAD,424950,NIL,1.31441974108345,103.902897408132
99,LORONG J TELOK KURAU,425928,NIL,1.31454628693147,103.911850766921
